date,cdi_annual_rate,cdi_monthly_rate,cdi_accumulated_ytd_rate,cdi_12m_rate
2014-01,0.1005,0.0084,0.0083999999999999,
2014-02,0.1032,0.0078,0.0162655199999999,
2014-03,0.1056,0.0076,0.023989137952,
2014-04,0.1076999999999999,0.0081999999999999,0.0323858488832065,
2014-05,0.108,0.0086,0.0412643671836019,
2014-06,0.108,0.0081999999999999,0.0498027349945073,
2014-07,0.108,0.0093999999999999,0.0596708807034558,
2014-08,0.1082,0.0086,0.0687840502775054,
2014-09,0.1082,0.009,0.0784031067300028,
2014-10,0.1085,0.0093999999999999,0.0885400959332649,
2014-11,0.1109,0.0084,0.0976838327391043,
2014-12,0.1151,0.0096,0.1082215975333997,0.1082215975333997
2015-01,0.1174,0.0093,0.0093,0.1092106886061692
2015-02,0.1209,0.0081999999999999,0.01757626,0.1096509389290927
2015-03,0.1253,0.0104,0.0281590531039999,0.112734526294119
2015-04,0.1263,0.0095,0.037926564108488,0.1141693159035053
2015-05,0.1313,0.0098,0.0480982444367512,0.115494918896847
2015-06,0.1357,0.0107,0.0593128956522244,0.1182609745378331
2015-07,0.1368,0.0118,0.0718127878209207,0.1209198078436484
2015-08,0.1413,0.0111,0.083709909765733,0.1236982130782409
2015-09,0.1413,0.0111,0.0957390897641328,0.1260369308656181
2015-10,0.1413,0.0111,0.1079017936605148,0.127933367147045
2015-11,0.1414,0.0106,0.1196455526733162,0.1303941499789807
2015-12,0.1414,0.0116,0.1326334410843268,0.1326334410843268
2016-01,0.1414,0.0105,0.0104999999999999,0.1339800774950079
2016-02,0.1413,0.01,0.0206049999999999,0.1360046402201533
2016-03,0.1413,0.0116,0.032444018,0.1373538143771842
2016-04,0.1413,0.0105,0.0432846801890001,0.1384804650105446
2016-05,0.1413,0.0111,0.054865140139098,0.1399461261360286
2016-06,0.1413,0.0116,0.0671015757647115,0.1409612161860165
2016-07,0.1413,0.0111,0.0789464032556999,0.1401718577640653
2016-08,0.1413,0.0121,0.0920016547350939,0.1412995126525666
2016-09,0.1413,0.0111,0.1041228731026535,0.1412995126525666
2016-10,0.1402999999999999,0.0105,0.1157161632702312,0.140622250554266
2016-11,0.1388,0.0104,0.1273196113682415,0.1403965188601135
2016-12,0.1363,0.0112,0.139945591015566,0.139945591015566
2017-01,0.1315,0.0108,0.0107999999999999,0.1402840211761842
2017-02,0.128,0.0086,0.0194928799999998,0.1387034294636628
2017-03,0.1213,0.0105,0.0301975552399997,0.1374652189334035
2017-04,0.1157,0.0079,0.0383361159263957,0.1345385394982459
2017-05,0.1113,0.0093,0.0479926418045113,0.1325187893537533
2017-06,0.1014,0.0081,0.0564813822031278,0.1286004265989704
2017-07,0.1,0.008,0.0649332332607528,0.1251401740794795
2017-08,0.0914,0.008,0.0734526991268389,0.1205822502441613
2017-09,0.0834,0.0064,0.0803227964012507,0.1153733326532726
2017-10,0.08,0.0064,0.0872368622982187,0.1108478198735809
2017-11,0.0739,0.0056999999999999,0.0934341124133186,0.1056805744723479
2017-12,0.0699,0.0054,0.0993386566203506,0.0993386566203506
2018-01,0.0689,0.0058,0.0058,0.0939006933406694
2018-02,0.0670999999999999,0.0046,0.0104266799999999,0.089562399890974
2018-03,0.0657,0.0053,0.0157819414039999,0.0839555473630842
2018-04,0.0639,0.0052,0.0210640074993007,0.0810518069345886
2018-05,0.0639,0.0052,0.0263735403382971,0.0766603352131669
2018-06,0.0639,0.0052,0.0317106827480564,0.0735631077832308
2018-07,0.0639,0.0054,0.0372819204348959,0.0707939965925199
2018-08,0.0639,0.0056999999999999,0.0431944273813749,0.0683507166399777
2018-09,0.0639,0.0046999999999999,0.0480974411900672,0.0665460701591669
2018-10,0.064,0.0054,0.0537571673724937,0.0654863065759403
2018-11,0.064,0.0049,0.0589205774926189,0.0646387486110793
2018-12,0.064,0.0049,0.0641092883223326,0.0641092883223326
2019-01,0.064,0.0054,0.0054,0.0636860991044674
