date,ipca_monthly_rate,ipca_accumulated_ytd_rate,ipca_12m_rate
2014-01,0.0055,0.0055,
2014-02,0.0069,0.01243795,
2014-03,0.0092,0.02175237914,
2014-04,0.0067,0.0285981200802378,
2014-05,0.0046,0.033329671432607,
2014-06,0.004,0.0374629901183374,
2014-07,0.0001,0.0375667364173493,
2014-08,0.0025,0.0401606532583926,
2014-09,0.0056999999999999,0.0460895689819655,
2014-10,0.0042,0.0504831451716898,
2014-11,0.0051,0.0558406092120655,
2014-12,0.0078,0.0640761659639197,0.0640761659639197
2015-01,0.0124,0.0123999999999999,0.0713781307030054
2015-02,0.0121999999999999,0.02475128,0.0770175229889582
2015-03,0.0132,0.038277996896,0.0812863201470597
2015-04,0.0070999999999999,0.0456497706739618,0.0817159561141396
2015-05,0.0074,0.0533875789769491,0.0847308920857896
2015-06,0.0079,0.0617093408508671,0.0889444881805452
2015-07,0.0062,0.0682919387641425,0.0955863853687275
2015-08,0.0022,0.0706421810294235,0.0952585290938043
2015-09,0.0054,0.0764236488069824,0.0949318138121813
2015-10,0.0081999999999999,0.0852503227271996,0.0992932231482193
2015-11,0.0101,0.0962113509867443,0.1047617995244409
2015-12,0.0096,0.1067349799562171,0.1067349799562171
2016-01,0.0127,0.0126999999999999,0.1070629338222652
2016-02,0.009,0.0218142999999997,0.1035630312454705
2016-03,0.0043,0.0262081014899997,0.0938692778126983
2016-04,0.0060999999999999,0.0324679709090887,0.0927831202535554
2016-05,0.0078,0.0405212210821797,0.0932170226241144
2016-06,0.0034999999999999,0.0441630453559673,0.0884445700995129
2016-07,0.0052,0.0495926931918184,0.0873628323037472
2016-08,0.0044,0.0542109010418623,0.0897497792515304
2016-09,0.0008,0.0550542697626956,0.0847638542619171
2016-10,0.0026,0.0577974108640786,0.0787385838950587
2016-11,0.0018,0.059701446203634,0.0698745800871891
2016-12,0.003,0.0628805505422447,0.0628805505422447
2017-01,0.0038,0.0038,0.0535395444201696
2017-02,0.0033,0.00711254,0.0475879335151203
2017-03,0.0025,0.0096303213499999,0.0457103488488577
2017-04,0.0014,0.0110438037998901,0.0408253089526351
2017-05,0.0031,0.0141780395916699,0.0359712913379524
